"dtc","modelType","factory","serialStart","serialEnd","ecu","compFull","standard","event","symptom","condition","preDtc","causes","actions","mode"
"P008800","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","연료 레일/시스템 압력 - 뱅크 1 너무 높음","ISO 14229 / SAE J1939","추가 정보 없음","PID 164-0","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B102C19","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","캡 조명 릴레이","ISO 14229 / SAE J1939","회로 전류 임계값 초과","B102C19 캡 조명 릴레이 회로 전류 임계값 초과","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"U30004B","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","계기 클러스터 그래픽","전자 컨트롤 유닛","ISO 14229 / SAE J1939","과열","U30004B 전자 컨트롤 유닛 과열","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B103711","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","소형 일반 용도 장비의 전자 컨트롤 유닛 1","간편 커플러 솔레노이드 밸브","ISO 14229 / SAE J1939","회로의 접지 단락","B103711 간편 커플러 솔레노이드 밸브 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"C100711","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","소형 일반 용도 장비의 전자 컨트롤 유닛 1","센서 공급 1","ISO 14229 / SAE J1939","회로의 접지 단락","C100711 센서 공급 1 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P0C4298","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","소형 일반 용도 장비의 전자 컨트롤 유닛 1","하이브리드/EV 배터리 팩 냉각수 온도 센서 ""A"" 회로","ISO 14229 / SAE J1939","구성부품 또는 시스템 과열","P0C4298 하이브리드/EV 배터리 팩 냉각수 온도 센서 ""A"" 회로 구성부품 또는 시스템 과열","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P101C42","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","소형 일반 용도 장비의 전자 컨트롤 유닛 1","하이브리드/EV BMU 하드웨어 ""B""","ISO 14229 / SAE J1939","일반적 메모리 오류","P101C42 하이브리드/EV BMU 하드웨어 ""B"" 일반적 메모리 오류","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B104F13","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","소형 일반 용도 장비의 전자 컨트롤 유닛 2","이동 속도 솔레노이드 밸브","ISO 14229 / SAE J1939","회로 단선","B104F13 이동 속도 솔레노이드 밸브 회로 단선","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B108311","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","소형 일반 용도 장비의 전자 컨트롤 유닛 2","X1/Boom Swing Direction Valve","ISO 14229 / SAE J1939","회로의 접지 단락","B108311 X1/Boom Swing Direction Valve 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"U300044","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","텔레마틱스 ECU","전자 컨트롤 유닛","ISO 14229 / SAE J1939","데이터 메모리 오류","U300044 전자 컨트롤 유닛 데이터 메모리 오류","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
